DATE,POPTOTDEA647NWDB
1960-01-01,72814900
1961-01-01,73377632
1962-01-01,74025784
1963-01-01,74714353
1964-01-01,75318337
1965-01-01,75963695
1966-01-01,76600311
1967-01-01,76951336
1968-01-01,77294314
1969-01-01,77909682
1970-01-01,78169289
1971-01-01,78312842
1972-01-01,78688452
1973-01-01,78936666
1974-01-01,78967433
1975-01-01,78673554
1976-01-01,78336950
1977-01-01,78159814
1978-01-01,78091820
1979-01-01,78126350
1980-01-01,78288576
1981-01-01,78407907
1982-01-01,78333366
1983-01-01,78128282
1984-01-01,77858685
1985-01-01,77684873
1986-01-01,77720436
1987-01-01,77839920
1988-01-01,78144619
1989-01-01,78751283
1990-01-01,79433029
1991-01-01,80013896
1992-01-01,80624598
1993-01-01,81156363
1994-01-01,81438348
1995-01-01,81678051
1996-01-01,81914831
1997-01-01,82034771
1998-01-01,82047195
1999-01-01,82100243
2000-01-01,82211508
2001-01-01,82349925
2002-01-01,82488495
2003-01-01,82534176
2004-01-01,82516260
2005-01-01,82469422
2006-01-01,82376451
2007-01-01,82266372
2008-01-01,82110097
2009-01-01,81902307
2010-01-01,81776930
2011-01-01,80274983
2012-01-01,80425823
2013-01-01,80645605
2014-01-01,80982500
2015-01-01,81686611
2016-01-01,82348669.0
2017-01-01,82657002
2018-01-01,82905782.0
2019-01-01,83092962.0
2020-01-01,83240525
