DATE,POPTOTIEA647NWDB
1960-01-01,2828600
1961-01-01,2824400
1962-01-01,2836050
1963-01-01,2852650
1964-01-01,2866550
1965-01-01,2877300
1966-01-01,2888800
1967-01-01,2902450
1968-01-01,2915550
1969-01-01,2932650
1970-01-01,2957250
1971-01-01,2992050
1972-01-01,3036850
1973-01-01,3085950
1974-01-01,3137500
1975-01-01,3189550
1976-01-01,3238050
1977-01-01,3282200
1978-01-01,3329100
1979-01-01,3373750
1980-01-01,3412800
1981-01-01,3453000
1982-01-01,3485800
1983-01-01,3510600
1984-01-01,3532423
1985-01-01,3538082
1986-01-01,3539690
1987-01-01,3540057
1988-01-01,3524949
1989-01-01,3511009
1990-01-01,3513974
1991-01-01,3534235
1992-01-01,3558430
1993-01-01,3576261
1994-01-01,3590386
1995-01-01,3608841
1996-01-01,3637510
1997-01-01,3674171
1998-01-01,3712696
1999-01-01,3754786
2000-01-01,3805174
2001-01-01,3866243
2002-01-01,3931947
2003-01-01,3996521
2004-01-01,4070262
2005-01-01,4159914
2006-01-01,4273591
2007-01-01,4398942
2008-01-01,4489544
2009-01-01,4535375
2010-01-01,4560155
2011-01-01,4580084.0
2012-01-01,4599533.0
2013-01-01,4623816.0
2014-01-01,4657740.0
2015-01-01,4701957.0
2016-01-01,4755335.0
2017-01-01,4807388
2018-01-01,4867316
2019-01-01,4934340
2020-01-01,4994724
